browse,browse_to_add_to_consider,browse_to_purchase,directly_add_to_consider,directly_purchase,no_browse,user_id
0,2,1,1,0,3,66722
0,1,1,2,0,3,244648
2,0,3,0,0,2,364360
0,0,1,1,0,5,364633
1,1,1,2,0,2,65146
2,1,0,0,1,3,12367
0,0,0,2,1,4,206374
1,1,1,0,0,4,178246
0,3,2,0,0,2,110279
1,0,1,0,0,5,32278
2,0,1,0,0,4,72347
1,1,2,0,0,3,302675
0,1,1,2,0,3,401537
1,0,1,2,0,3,58843
0,1,1,0,0,5,234541
0,1,1,3,0,2,263270
0,0,1,1,0,5,304532
2,0,1,1,1,2,74054
1,0,2,0,0,4,51444
1,0,1,0,0,5,256556
1,0,2,0,0,4,142139
0,0,1,1,0,5,65868
1,0,1,1,0,4,288797
2,0,1,0,1,3,152327
2,0,1,0,0,4,323129
1,0,1,0,0,5,265964
4,2,1,0,0,0,373760
2,0,2,0,0,3,106189
0,0,0,0,2,5,162605
0,0,1,2,0,4,251661
1,0,1,0,0,5,64975
2,0,1,0,0,4,125696
0,0,1,0,1,5,99708
1,0,1,0,0,5,49815
3,0,1,0,0,3,341561
2,0,1,0,0,4,91056
1,0,1,0,0,5,178110
1,0,1,0,0,5,181147
0,0,3,0,0,4,40566
1,0,2,0,0,4,249802
2,1,1,0,0,3,256853
1,0,2,0,0,4,253911
0,0,1,1,1,4,413914
1,0,1,0,0,5,168392
3,0,1,0,0,3,353665
2,0,0,0,1,4,311505
1,0,1,0,0,5,114294
1,0,2,1,0,3,209757
2,0,1,0,0,4,113778
0,1,0,2,1,3,166192
2,0,1,0,0,4,282237
2,1,1,0,0,3,84623
2,0,1,0,0,4,300429
0,2,1,0,0,4,160528
0,1,1,0,0,5,274842
2,0,1,0,0,4,404983
1,0,2,0,0,4,362292
1,0,1,0,0,5,72957
2,0,1,0,0,4,422125
2,2,1,0,0,2,366880
1,0,1,1,0,4,77275
1,1,1,0,0,4,379914
0,2,1,0,0,4,75900
1,1,1,0,0,4,162494
1,0,1,0,0,5,126573
1,0,1,0,0,5,262719
0,1,1,0,0,5,91243
1,1,1,1,0,3,79903
1,0,1,0,0,5,156343
1,0,1,0,0,5,373955
1,0,1,0,0,5,47775
2,1,1,0,0,3,241319
1,0,1,0,0,5,34109
0,1,1,0,0,5,131221
0,0,3,0,0,4,195050
1,0,2,0,0,4,409458
1,0,1,0,0,5,200084
3,0,1,0,0,3,284075
2,0,1,0,0,4,318356
1,1,1,0,0,4,252919
2,0,1,0,0,4,335684
0,1,1,0,0,5,354367
1,0,1,0,0,5,300984
0,0,0,0,3,4,42188
1,0,0,3,1,2,394261
2,0,0,0,1,4,647
1,0,1,0,0,5,61364
2,1,1,0,0,3,95397
2,0,1,0,0,4,165530
2,0,1,0,0,4,328027
1,0,1,0,1,4,39939
1,0,0,1,1,4,242765
0,1,2,1,0,3,347203
4,0,1,0,0,2,174491
2,0,1,0,0,4,48915
0,0,1,4,0,2,192077
2,0,1,0,0,4,20021
2,0,1,0,0,4,300282
1,2,1,0,0,3,229
1,0,1,0,0,5,350622
1,0,0,0,1,5,102657
0,0,2,1,0,4,170992
4,1,1,0,0,1,12596
2,0,1,0,0,4,22528
2,0,1,0,0,4,76374
0,0,1,1,0,5,149996
3,0,1,0,0,3,187923
1,0,1,0,1,4,230241
2,0,1,0,0,4,376343
2,0,1,0,0,4,93253
1,1,1,0,0,4,202546
0,2,1,0,0,4,222370
1,2,1,0,0,3,285115
1,0,1,0,0,5,72707
2,0,1,0,0,4,36836
2,0,1,0,0,4,131903
1,0,1,0,0,5,274928
3,0,1,0,0,3,309571
0,2,1,0,0,4,142476
1,0,1,0,0,5,341522
2,0,1,0,0,4,292750
2,0,1,0,0,4,199201
0,0,1,3,0,3,153789
1,0,1,0,1,4,398668
2,0,2,0,0,3,289379
2,0,1,0,0,4,162577
0,0,0,0,2,5,314108
1,0,1,0,0,5,129806
2,0,1,0,0,4,405438
1,0,1,0,0,5,187773
2,0,0,0,1,4,30743
2,0,2,0,0,3,270438
1,1,1,0,0,4,40964
3,0,1,0,0,3,172816
1,0,3,0,0,3,144704
0,0,2,0,0,5,123495
1,0,1,0,0,5,15596
3,0,1,0,0,3,231471
3,0,1,0,0,3,391696
0,1,0,0,1,5,245243
2,1,1,0,0,3,405120
1,0,1,0,0,5,365350
0,0,1,0,1,5,253815
1,0,1,1,0,4,203917
1,0,2,0,0,4,167936
1,0,1,0,0,5,407514
0,0,1,2,0,4,276454
2,0,1,0,0,4,271877
0,0,3,0,0,4,64866
2,1,2,0,0,2,38373
2,0,0,0,1,4,274877
1,0,1,0,0,5,248113
3,0,2,0,0,2,243777
1,1,1,1,0,3,159264
4,0,1,0,0,2,54863
1,1,1,0,0,4,98043
0,4,1,1,0,1,158132
0,0,2,1,0,4,165309
0,0,1,2,1,3,398292
0,3,1,0,0,3,33114
1,0,1,0,0,5,343514
1,0,1,0,0,5,386585
2,0,1,0,0,4,219066
1,0,2,0,0,4,287766
1,0,0,0,1,5,167886
0,1,2,0,0,4,248239
3,0,0,0,1,3,76997
0,1,2,0,0,4,22116
0,0,3,0,0,4,351435
1,0,0,0,2,4,164804
2,1,1,0,0,3,384968
1,0,1,0,1,4,129827
0,0,1,3,0,3,411826
0,6,1,0,0,0,274847
3,0,2,0,0,2,371026
2,0,1,0,0,4,101690
1,0,1,0,0,5,393377
2,0,2,0,0,3,90915
0,2,1,0,0,4,331039
0,1,1,3,0,2,342370
2,0,1,1,0,3,285065
2,1,1,0,0,3,161880
1,0,1,0,0,5,276328
3,0,1,0,1,2,334559
2,0,1,0,0,4,12785
1,1,1,0,0,4,88505
1,0,1,0,0,5,263166
0,0,1,3,0,3,140044
0,0,1,2,0,4,216100
0,0,2,1,0,4,2993
2,0,1,0,0,4,209440
2,2,1,0,0,2,211400
1,1,1,0,0,4,339565
1,3,1,0,0,2,279683
2,0,2,0,0,3,205523
1,0,1,0,0,5,421993
1,0,1,0,0,5,362796
2,1,2,0,0,2,27956
2,0,1,0,0,4,119991
2,0,1,0,0,4,145351
1,1,1,0,0,4,287537
0,0,3,0,0,4,220329
1,2,1,0,0,3,382206
1,1,1,0,0,4,217401
3,1,1,0,0,2,423856
2,1,2,0,0,2,315108
3,1,1,0,0,2,98149
1,0,1,0,0,5,160086
2,1,1,1,0,2,13629
1,1,1,1,0,3,78152
1,0,1,0,0,5,270389
3,0,1,0,0,3,148199
4,0,1,0,0,2,104938
2,0,2,0,0,3,296098
1,0,0,0,1,5,289008
1,1,0,1,1,3,67326
2,0,1,0,0,4,269625
2,0,1,0,0,4,99299
0,1,1,0,0,5,200411
1,0,1,0,1,4,63457
0,1,1,0,0,5,399353
1,0,1,0,0,5,177127
1,0,2,0,0,4,189051
2,1,1,0,0,3,397966
2,0,1,0,0,4,420125
2,0,1,0,0,4,125346
1,0,1,0,0,5,154262
0,0,1,0,2,4,194478
1,0,1,0,0,5,94749
2,0,1,0,0,4,322838
0,0,0,1,1,5,36015
0,0,2,0,0,5,41867
0,1,1,0,1,4,210436
0,0,1,1,0,5,98371
2,0,1,0,0,4,403161
1,0,1,0,0,5,295147
1,0,0,0,1,5,106977
1,0,1,0,0,5,226066
1,0,1,0,0,5,309854
0,0,2,0,0,5,148735
1,0,1,2,0,3,365415
1,0,1,0,0,5,411030
0,0,1,1,0,5,227961
0,2,1,2,0,2,274520
1,0,1,0,0,5,22926
1,0,1,0,0,5,268493
0,0,0,1,1,5,249722
0,0,1,1,0,5,392350
4,0,1,0,0,2,238748
1,0,1,0,0,5,14029
1,1,1,0,0,4,42282
1,0,1,0,0,5,400251
1,1,1,0,0,4,48904
1,0,2,0,0,4,351650
1,0,1,0,0,5,294609
0,1,1,0,0,5,177914
2,0,1,0,0,4,232458
2,0,1,0,0,4,413248
1,2,1,0,0,3,142617
2,0,1,0,0,4,112759
0,3,1,0,0,3,20257
3,0,1,0,0,3,175188
1,0,1,0,0,5,308806
1,0,1,0,0,5,5367
1,0,2,0,0,4,74722
1,0,1,0,0,5,176294
2,0,1,1,0,3,240122
1,0,0,1,1,4,352904
1,0,1,1,0,4,410013
1,1,0,0,1,4,200482
2,0,1,0,0,4,59725
2,0,1,0,0,4,265400
0,0,0,2,1,4,261185
0,1,1,0,0,5,336054
1,0,2,0,0,4,312517
1,0,2,0,0,4,34105
1,0,3,0,0,3,370624
0,2,1,0,0,4,410714
0,0,1,0,1,5,288539
0,1,1,0,0,5,246286
1,2,1,0,0,3,258722
1,0,1,0,0,5,298771
0,3,0,1,1,2,354867
1,2,1,0,0,3,37253
1,0,1,0,0,5,81863
3,0,1,0,0,3,214731
1,0,1,0,0,5,30199
1,0,1,0,0,5,88760
2,0,1,0,0,4,157306
1,1,1,0,0,4,102801
0,0,1,0,1,5,374872
1,0,1,0,0,5,165043
1,1,1,0,1,3,209709
1,0,1,0,0,5,49208
2,0,1,0,0,4,12978
3,0,1,0,0,3,303366
2,0,1,0,0,4,160423
1,0,2,0,0,4,104887
1,0,2,0,0,4,385136
1,0,1,0,0,5,281359
2,0,1,0,0,4,71925
1,0,1,0,0,5,385787
2,0,1,0,0,4,57351
1,0,1,0,0,5,281760
2,0,1,0,0,4,374480
0,0,2,0,1,4,145969
1,1,1,0,0,4,61277
1,1,1,0,0,4,423750
1,0,1,0,0,5,271620
0,2,1,0,0,4,295698
1,0,1,0,0,5,104302
0,1,1,0,0,5,321121
2,0,1,0,0,4,314219
0,0,2,0,0,5,291214
1,1,1,1,0,3,17875
1,0,1,0,0,5,17261
1,0,1,0,0,5,186932
0,0,1,1,0,5,225036
3,0,1,0,0,3,363534
2,0,1,0,0,4,314856
1,0,1,0,0,5,353188
2,0,1,0,0,4,386561
0,3,1,0,0,3,118630
1,2,1,0,0,3,191946
1,2,1,0,0,3,209810
0,0,1,1,0,5,41670
2,1,1,0,0,3,66942
2,0,1,0,0,4,258147
1,0,1,0,0,5,190
1,3,1,0,0,2,221234
1,0,1,2,0,3,264020
1,0,2,0,1,3,41418
3,0,1,0,0,3,35253
2,0,1,0,0,4,24474
1,1,1,0,0,4,338452
1,1,1,0,0,4,260221
2,0,1,0,0,4,243705
1,0,2,0,0,4,209495
2,0,1,0,0,4,352662
2,0,1,0,0,4,98128
1,0,1,0,0,5,116271
2,1,1,0,0,3,188783
3,0,1,0,0,3,342242
1,0,1,0,0,5,22228
3,1,1,0,0,2,401227
0,0,2,1,0,4,6348
0,2,1,0,0,4,417918
2,0,1,0,0,4,344635
1,0,0,0,1,5,60144
1,0,2,0,0,4,422550
1,0,0,0,1,5,66338
1,2,1,0,0,3,63915
1,1,3,0,0,2,217507
2,0,1,0,0,4,345523
0,1,1,1,0,4,114045
0,1,2,0,0,4,38055
1,0,1,0,0,5,235645
1,0,1,0,0,5,289647
2,1,0,0,1,3,340383
0,0,2,0,0,5,259085
1,0,1,0,0,5,173229
0,0,1,2,2,2,19017
3,0,1,0,0,3,38858
2,0,1,0,0,4,402473
1,0,1,2,0,3,390717
0,3,1,0,0,3,205732
2,0,1,0,0,4,252112
1,2,1,0,0,3,30737
0,0,2,0,0,5,5796
1,0,1,0,0,5,380117
3,0,1,0,0,3,198181
1,0,1,0,0,5,252874
1,3,1,0,0,2,97810
0,2,1,0,0,4,15701
0,0,1,2,0,4,148635
0,0,2,0,0,5,240657
1,1,1,0,0,4,156683
2,0,1,0,0,4,77395
3,0,1,0,0,3,398669
1,1,1,0,0,4,193568
1,0,1,0,0,5,33198
2,0,1,0,0,4,169986
1,0,1,0,0,5,50052
0,1,1,0,0,5,365701
2,0,1,0,0,4,231547
2,0,1,0,0,4,398194
1,0,1,0,0,5,80885
1,0,1,0,0,5,368849
1,0,1,0,0,5,19139
1,0,2,0,0,4,41813
1,1,1,0,0,4,253393
2,0,1,0,0,4,296742
2,0,2,0,0,3,107450
0,0,1,2,0,4,58829
0,2,0,1,1,3,343989
2,1,1,0,0,3,368924
0,1,1,0,1,4,419116
2,1,1,0,0,3,38049
2,0,1,0,0,4,161693
1,2,1,0,0,3,231060
1,0,1,0,0,5,303052
1,0,2,0,0,4,258635
2,0,1,0,0,4,371855
2,0,1,0,0,4,231459
1,0,1,0,1,4,408947
2,0,1,0,0,4,240159
1,0,1,0,0,5,52595
1,0,1,0,0,5,196916
1,0,1,0,0,5,411551
0,0,2,0,0,5,179281
1,0,1,0,0,5,43248
1,0,1,0,0,5,156333
1,0,1,0,0,5,72788
1,1,2,0,0,3,203177
0,0,0,4,1,2,156894
1,0,1,0,0,5,105225
2,0,1,0,0,4,404459
3,0,1,0,0,3,145927
2,1,1,0,0,3,319323
1,0,1,0,0,5,48900
1,0,1,0,0,5,359856
1,0,1,0,0,5,395914
2,0,1,0,0,4,192024
0,1,1,0,0,5,231536
1,0,1,0,0,5,279617
2,0,1,0,0,4,21386
2,0,1,0,0,4,116002
2,0,1,0,0,4,100269
1,1,1,0,0,4,131319
0,2,1,0,0,4,147177
0,1,1,0,0,5,379091
0,2,1,2,0,2,406129
1,0,1,0,0,5,315703
1,0,2,0,0,4,146694
3,0,2,0,0,2,368265
2,0,1,0,0,4,291070
1,1,1,0,0,4,300465
2,0,2,0,0,3,222630
0,1,2,0,0,4,266415
1,0,1,0,0,5,247329
2,0,2,0,0,3,54979
0,0,1,0,1,5,197279
1,0,2,0,0,4,228944
0,2,2,0,0,3,242244
3,0,1,0,0,3,303370
3,0,1,0,0,3,38062
1,0,1,0,0,5,373088
1,0,1,0,0,5,66804
2,0,1,0,0,4,386887
1,0,1,0,0,5,283566
1,0,1,0,0,5,134355
2,0,1,0,0,4,146278
1,2,1,0,0,3,213489
2,0,1,0,0,4,333874
1,0,2,0,0,4,72912
1,0,1,0,0,5,305264
1,0,1,0,0,5,107932
1,0,1,0,0,5,101263
0,1,1,0,0,5,107012
3,0,1,0,0,3,107349
1,0,1,0,0,5,392782
1,0,1,1,1,3,422039
1,0,1,0,0,5,356149
1,1,1,0,0,4,346516
2,1,1,0,0,3,50774
1,0,1,0,0,5,155122
2,0,1,0,0,4,237740
2,0,1,0,0,4,118775
1,0,1,0,0,5,5750
0,0,2,0,0,5,250168
1,1,1,0,0,4,337465
0,2,1,0,0,4,378142
3,0,1,0,0,3,93807
1,0,1,0,0,5,397442
3,0,1,0,0,3,393943
0,1,2,0,0,4,296888
3,0,0,0,1,3,354813
2,2,1,0,0,2,341269
1,1,1,0,0,4,336128
1,2,1,0,0,3,423458
1,0,1,0,0,5,337188
1,0,1,0,0,5,258469
1,0,1,0,0,5,220387
1,0,2,0,0,4,274135
1,1,1,0,0,4,364429
2,1,1,0,0,3,34264
2,0,1,0,0,4,2209
0,2,1,2,0,2,253717
0,0,3,0,0,4,121262
0,0,2,0,2,3,198394
0,2,1,0,0,4,393534
1,0,2,0,0,4,106541
1,1,0,0,1,4,126502
0,2,1,0,0,4,267713
3,0,1,0,0,3,224155
3,0,1,1,0,2,160779
1,0,1,0,0,5,142904
1,1,1,0,0,4,187323
2,0,1,0,0,4,51907
2,0,1,0,0,4,234860
1,0,1,0,0,5,364481
1,3,1,0,0,2,239717
1,0,1,0,0,5,170755
1,2,1,0,0,3,285028
2,0,1,0,0,4,401486
1,0,1,0,0,5,369782
1,0,1,0,0,5,411332
3,0,1,0,0,3,270336
2,1,0,0,1,3,181741
0,0,2,0,0,5,83725
1,0,0,0,1,5,92164
2,0,1,0,0,4,275164
2,0,1,0,0,4,219381
0,1,1,3,0,2,53564
0,0,1,1,0,5,352770
0,0,2,0,0,5,12166
3,0,1,0,0,3,14767
1,1,1,0,0,4,112340
1,0,1,0,0,5,346829
2,0,1,0,0,4,141729
1,0,1,0,0,5,231186
2,0,1,0,0,4,302664
1,0,1,0,0,5,206559
3,0,1,0,0,3,345013
1,0,0,1,2,3,388121
1,1,1,0,0,4,238841
1,1,1,0,0,4,164267
2,0,1,0,0,4,148567
0,0,1,1,0,5,65607
1,1,0,0,1,4,419246
0,1,1,0,1,4,190056
4,0,1,0,0,2,40135
1,0,1,0,0,5,30083
1,0,2,0,0,4,106067
1,0,1,0,0,5,303993
1,0,1,0,0,5,254630
2,0,1,0,0,4,49459
0,1,1,0,0,5,230193
1,0,1,2,0,3,156454
0,1,1,1,0,4,44371
0,0,0,1,2,4,344808
0,0,0,2,1,4,174203
1,0,1,0,0,5,132467
1,1,0,1,1,3,171910
1,0,1,1,0,4,313045
0,0,2,0,0,5,79521
2,1,1,0,0,3,110747
0,0,1,0,1,5,24515
3,0,1,0,0,3,36434
1,2,1,0,0,3,98971
1,1,1,0,0,4,354938
1,0,1,0,0,5,353295
0,2,1,0,0,4,133629
1,0,1,0,0,5,11365
1,0,1,0,0,5,164254
3,0,1,0,0,3,28498
0,0,0,0,2,5,52908
1,0,0,0,1,5,102232
1,0,1,0,0,5,57642
1,0,1,0,0,5,276669
0,0,2,0,0,5,389626
0,1,1,0,0,5,422389
2,0,1,0,0,4,326169
0,0,0,0,2,5,354531
1,0,1,0,0,5,346979
2,0,1,0,0,4,104894
1,0,1,0,0,5,29592
0,0,1,2,0,4,344203
1,0,1,0,0,5,178179
1,0,1,0,0,5,285542
0,1,1,0,0,5,416852
2,0,1,0,0,4,21763
2,0,1,0,0,4,44909
1,0,1,0,0,5,352775
4,0,1,0,0,2,241092
1,0,1,0,0,5,325713
1,0,1,0,0,5,137086
1,0,1,0,0,5,30727
1,2,1,0,0,3,1452
1,1,1,0,0,4,266381
1,0,1,0,0,5,34755
2,1,1,0,0,3,100372
0,0,0,0,2,5,47329
2,0,1,0,0,4,260785
2,0,1,0,0,4,161078
1,1,1,0,0,4,64446
1,0,0,0,1,5,389410
2,0,1,0,0,4,279819
1,0,1,0,0,5,89312
0,0,0,3,2,2,399709
2,0,1,0,0,4,165709
0,2,1,1,0,3,32053
4,0,1,0,0,2,199414
3,0,1,0,1,2,219207
0,1,2,0,0,4,251617
2,0,1,0,0,4,277132
2,0,1,0,0,4,48686
1,0,1,1,0,4,265791
3,0,1,0,0,3,417383
1,0,1,0,0,5,164407
1,1,1,0,0,4,391472
0,1,2,0,0,4,71787
1,1,1,0,0,4,151256
1,0,2,0,0,4,103949
2,0,1,0,0,4,136053
1,0,2,0,0,4,58866
3,0,1,0,0,3,179785
1,0,1,0,0,5,222442
2,0,1,0,0,4,169325
1,0,2,0,0,4,275235
0,0,1,1,0,5,115236
1,0,1,0,0,5,117049
1,0,1,0,0,5,297647
1,0,1,0,0,5,392229
2,0,1,0,0,4,140711
1,1,0,0,1,4,239121
1,1,2,1,0,2,238058
2,0,1,0,0,4,132948
1,0,1,0,0,5,45397
0,0,1,1,0,5,123122
1,0,1,0,0,5,230567
1,0,1,0,0,5,127420
0,2,1,0,0,4,51412
1,0,1,0,0,5,317501
1,1,0,0,1,4,25931
3,0,1,0,0,3,129374
2,0,1,0,0,4,185639
0,1,1,0,0,5,208950
1,0,1,0,0,5,324748
0,0,0,3,1,3,307260
2,1,1,0,0,3,250688
1,0,0,0,1,5,363749
1,0,2,0,0,4,341923
0,0,0,2,2,3,141237
2,0,1,0,0,4,287362
